Game of Life CNN - Epoch Statistics Summary
==================================================
실험 ID: mercury_conv3-LReLU-He_fc5-Tanh-Xavier_BCEWithLogits_Adam-1000-50-0.000001-2025-08-15_215523
생성 일시: 2025년 08월 15일 23:05:58

📊 전체 통계 요약:
- 총 에폭 수: 1000
- 평균 표준편차: 0.025777
- 평균 분산: 0.000674
- 표준편차 범위: 0.020350 ~ 0.031039
- 분산 범위: 0.000414 ~ 0.000963

🔝 표준편차가 높은 상위 10 에폭:
   Epoch  432: std=0.031039, var=0.000963, cv=0.049264
   Epoch  431: std=0.031039, var=0.000963, cv=0.049256
   Epoch  433: std=0.031039, var=0.000963, cv=0.049271
   Epoch  430: std=0.031038, var=0.000963, cv=0.049248
   Epoch  434: std=0.031038, var=0.000963, cv=0.049276
   Epoch  429: std=0.031037, var=0.000963, cv=0.049239
   Epoch  435: std=0.031036, var=0.000963, cv=0.049281
   Epoch  428: std=0.031036, var=0.000963, cv=0.049229
   Epoch  436: std=0.031035, var=0.000963, cv=0.049285
   Epoch  427: std=0.031034, var=0.000963, cv=0.049219

🔻 표준편차가 낮은 상위 10 에폭:
   Epoch 1000: std=0.020350, var=0.000414, cv=0.032072
   Epoch  999: std=0.020356, var=0.000414, cv=0.032081
   Epoch  998: std=0.020362, var=0.000415, cv=0.032091
   Epoch  997: std=0.020367, var=0.000415, cv=0.032100
   Epoch  996: std=0.020373, var=0.000415, cv=0.032110
   Epoch  995: std=0.020379, var=0.000415, cv=0.032120
   Epoch  994: std=0.020385, var=0.000416, cv=0.032130
   Epoch  993: std=0.020391, var=0.000416, cv=0.032139
   Epoch  992: std=0.020397, var=0.000416, cv=0.032150
   Epoch  991: std=0.020403, var=0.000416, cv=0.032160
