Game of Life CNN - Epoch Statistics Summary
==================================================
실험 ID: mercury_conv3-LReLU-He_fc5-Tanh-Xavier_BCEWithLogits_Adam-1000-50-0.000001-2025-08-16_041549
생성 일시: 2025년 08월 16일 04:28:17

📊 전체 통계 요약:
- 총 에폭 수: 1000
- 평균 표준편차: 0.016455
- 평균 분산: 0.000291
- 표준편차 범위: 0.009635 ~ 0.021772
- 분산 범위: 0.000093 ~ 0.000474

🔝 표준편차가 높은 상위 10 에폭:
   Epoch 1000: std=0.021772, var=0.000474, cv=0.037982
   Epoch  999: std=0.021771, var=0.000474, cv=0.037980
   Epoch  998: std=0.021770, var=0.000474, cv=0.037979
   Epoch  997: std=0.021769, var=0.000474, cv=0.037977
   Epoch  996: std=0.021769, var=0.000474, cv=0.037976
   Epoch  995: std=0.021768, var=0.000474, cv=0.037974
   Epoch  994: std=0.021767, var=0.000474, cv=0.037972
   Epoch  993: std=0.021766, var=0.000474, cv=0.037971
   Epoch  992: std=0.021765, var=0.000474, cv=0.037969
   Epoch  991: std=0.021764, var=0.000474, cv=0.037967

🔻 표준편차가 낮은 상위 10 에폭:
   Epoch   23: std=0.009635, var=0.000093, cv=0.013199
   Epoch   24: std=0.009635, var=0.000093, cv=0.013202
   Epoch   22: std=0.009635, var=0.000093, cv=0.013196
   Epoch   25: std=0.009635, var=0.000093, cv=0.013205
   Epoch   26: std=0.009635, var=0.000093, cv=0.013208
   Epoch   21: std=0.009635, var=0.000093, cv=0.013193
   Epoch   27: std=0.009636, var=0.000093, cv=0.013212
   Epoch   20: std=0.009636, var=0.000093, cv=0.013191
   Epoch   28: std=0.009636, var=0.000093, cv=0.013216
   Epoch   19: std=0.009636, var=0.000093, cv=0.013188
