Game of Life CNN - Epoch Statistics Summary
==================================================
실험 ID: mercury_conv3-LReLU-He_fc5-Tanh-Xavier_CrossEntropy_Adam-1000-50-0.000001-2025-08-16_015753
생성 일시: 2025년 08월 16일 02:22:31

📊 전체 통계 요약:
- 총 에폭 수: 1000
- 평균 표준편차: 0.080456
- 평균 분산: 0.006687
- 표준편차 범위: 0.049136 ~ 0.106446
- 분산 범위: 0.002414 ~ 0.011331

🔝 표준편차가 높은 상위 10 에폭:
   Epoch 1000: std=0.106446, var=0.011331, cv=0.120273
   Epoch  999: std=0.106385, var=0.011318, cv=0.120226
   Epoch  998: std=0.106323, var=0.011305, cv=0.120179
   Epoch  997: std=0.106262, var=0.011292, cv=0.120132
   Epoch  996: std=0.106200, var=0.011278, cv=0.120085
   Epoch  995: std=0.106137, var=0.011265, cv=0.120038
   Epoch  994: std=0.106075, var=0.011252, cv=0.119990
   Epoch  993: std=0.106012, var=0.011239, cv=0.119943
   Epoch  992: std=0.105949, var=0.011225, cv=0.119895
   Epoch  991: std=0.105886, var=0.011212, cv=0.119847

🔻 표준편차가 낮은 상위 10 에폭:
   Epoch    1: std=0.049136, var=0.002414, cv=0.071806
   Epoch    2: std=0.049146, var=0.002415, cv=0.071834
   Epoch    3: std=0.049157, var=0.002416, cv=0.071863
   Epoch    4: std=0.049168, var=0.002418, cv=0.071892
   Epoch    5: std=0.049180, var=0.002419, cv=0.071921
   Epoch    6: std=0.049192, var=0.002420, cv=0.071951
   Epoch    7: std=0.049204, var=0.002421, cv=0.071982
   Epoch    8: std=0.049217, var=0.002422, cv=0.072013
   Epoch    9: std=0.049230, var=0.002424, cv=0.072044
   Epoch   10: std=0.049243, var=0.002425, cv=0.072075
