Game of Life CNN - Epoch Statistics Summary
==================================================
실험 ID: mercury_custom_conv0-LReLU-He_fc0-Tanh-Xavier_BCEWithLogits_Adam-1000-50-0.000001-2025-08-17_184830
생성 일시: 2025년 08월 17일 18:57:11

📊 전체 통계 요약:
- 총 에폭 수: 1000
- 평균 표준편차: 0.012854
- 평균 분산: 0.000170
- 표준편차 범위: 0.010434 ~ 0.018457
- 분산 범위: 0.000109 ~ 0.000341

🔝 표준편차가 높은 상위 10 에폭:
   Epoch 1000: std=0.018457, var=0.000341, cv=0.030782
   Epoch  999: std=0.018442, var=0.000340, cv=0.030754
   Epoch  998: std=0.018427, var=0.000340, cv=0.030725
   Epoch  997: std=0.018413, var=0.000339, cv=0.030696
   Epoch  996: std=0.018398, var=0.000338, cv=0.030667
   Epoch  995: std=0.018383, var=0.000338, cv=0.030638
   Epoch  994: std=0.018368, var=0.000337, cv=0.030608
   Epoch  993: std=0.018353, var=0.000337, cv=0.030579
   Epoch  992: std=0.018338, var=0.000336, cv=0.030550
   Epoch  991: std=0.018323, var=0.000336, cv=0.030520

🔻 표준편차가 낮은 상위 10 에폭:
   Epoch    1: std=0.010434, var=0.000109, cv=0.013805
   Epoch    2: std=0.010449, var=0.000109, cv=0.013823
   Epoch    3: std=0.010464, var=0.000109, cv=0.013841
   Epoch    4: std=0.010479, var=0.000110, cv=0.013860
   Epoch    5: std=0.010494, var=0.000110, cv=0.013878
   Epoch    6: std=0.010509, var=0.000110, cv=0.013897
   Epoch    7: std=0.010525, var=0.000111, cv=0.013915
   Epoch    8: std=0.010540, var=0.000111, cv=0.013934
   Epoch    9: std=0.010556, var=0.000111, cv=0.013953
   Epoch   10: std=0.010571, var=0.000112, cv=0.013972
