Game of Life CNN - Epoch Statistics Summary
==================================================
실험 ID: mercury_custom_conv3-LReLU-He_fc5-Sigmoid-Xavier_BCEWithLogits_Adam-500-64-0.000010-2025-08-17_044708
생성 일시: 2025년 08월 17일 04:54:33

📊 전체 통계 요약:
- 총 에폭 수: 500
- 평균 표준편차: 0.017370
- 평균 분산: 0.000309
- 표준편차 범위: 0.007886 ~ 0.019034
- 분산 범위: 0.000062 ~ 0.000362

🔝 표준편차가 높은 상위 10 에폭:
   Epoch  500: std=0.019034, var=0.000362, cv=0.033208
   Epoch  499: std=0.019034, var=0.000362, cv=0.033207
   Epoch  498: std=0.019033, var=0.000362, cv=0.033206
   Epoch  497: std=0.019032, var=0.000362, cv=0.033204
   Epoch  496: std=0.019032, var=0.000362, cv=0.033203
   Epoch  495: std=0.019031, var=0.000362, cv=0.033202
   Epoch  494: std=0.019030, var=0.000362, cv=0.033201
   Epoch  493: std=0.019029, var=0.000362, cv=0.033199
   Epoch  492: std=0.019029, var=0.000362, cv=0.033198
   Epoch  491: std=0.019028, var=0.000362, cv=0.033197

🔻 표준편차가 낮은 상위 10 에폭:
   Epoch    3: std=0.007886, var=0.000062, cv=0.011399
   Epoch    4: std=0.007892, var=0.000062, cv=0.011484
   Epoch    2: std=0.007896, var=0.000062, cv=0.011334
   Epoch    5: std=0.007912, var=0.000063, cv=0.011588
   Epoch    1: std=0.007919, var=0.000063, cv=0.011288
   Epoch    6: std=0.007945, var=0.000063, cv=0.011710
   Epoch    7: std=0.007993, var=0.000064, cv=0.011853
   Epoch    8: std=0.008056, var=0.000065, cv=0.012016
   Epoch    9: std=0.008131, var=0.000066, cv=0.012197
   Epoch   10: std=0.008217, var=0.000068, cv=0.012395
