Game of Life CNN - Epoch Statistics Summary
==================================================
실험 ID: mercury_custom_conv3-LReLU-He_fc5-Tanh-Xavier_BCEWithLogits_Adam-1000-64-0.000010-2025-08-17_160039
생성 일시: 2025년 08월 17일 17:01:07

📊 전체 통계 요약:
- 총 에폭 수: 1000
- 평균 표준편차: 0.018687
- 평균 분산: 0.000350
- 표준편차 범위: 0.008980 ~ 0.020932
- 분산 범위: 0.000081 ~ 0.000438

🔝 표준편차가 높은 상위 10 에폭:
   Epoch  199: std=0.020932, var=0.000438, cv=0.036179
   Epoch  198: std=0.020931, var=0.000438, cv=0.036154
   Epoch  200: std=0.020888, var=0.000436, cv=0.036126
   Epoch  197: std=0.020872, var=0.000436, cv=0.036030
   Epoch  201: std=0.020807, var=0.000433, cv=0.036010
   Epoch  196: std=0.020759, var=0.000431, cv=0.035814
   Epoch  202: std=0.020693, var=0.000428, cv=0.035838
   Epoch  195: std=0.020584, var=0.000424, cv=0.035487
   Epoch  203: std=0.020560, var=0.000423, cv=0.035633
   Epoch  204: std=0.020407, var=0.000416, cv=0.035391

🔻 표준편차가 낮은 상위 10 에폭:
   Epoch    1: std=0.008980, var=0.000081, cv=0.012360
   Epoch    3: std=0.009109, var=0.000083, cv=0.013302
   Epoch    2: std=0.009440, var=0.000089, cv=0.013356
   Epoch    4: std=0.010244, var=0.000105, cv=0.015259
   Epoch    5: std=0.012402, var=0.000154, cv=0.018770
   Epoch    6: std=0.013950, var=0.000195, cv=0.021457
   Epoch    7: std=0.015453, var=0.000239, cv=0.024068
   Epoch   14: std=0.016152, var=0.000261, cv=0.027539
   Epoch   13: std=0.016181, var=0.000262, cv=0.027368
   Epoch   15: std=0.016200, var=0.000262, cv=0.027792
