Game of Life CNN - Epoch Statistics Summary
==================================================
실험 ID: mercury_custom_conv3-LReLU-He_fc5-Tanh-Xavier_BCEWithLogits_SGD-1000-64-0.000010-2025-08-17_103245
생성 일시: 2025년 08월 17일 10:57:30

📊 전체 통계 요약:
- 총 에폭 수: 1000
- 평균 표준편차: 0.014399
- 평균 분산: 0.000211
- 표준편차 범위: 0.007401 ~ 0.015910
- 분산 범위: 0.000055 ~ 0.000253

🔝 표준편차가 높은 상위 10 에폭:
   Epoch  883: std=0.015910, var=0.000253, cv=0.023113
   Epoch  884: std=0.015910, var=0.000253, cv=0.023111
   Epoch  882: std=0.015909, var=0.000253, cv=0.023113
   Epoch  885: std=0.015908, var=0.000253, cv=0.023107
   Epoch  887: std=0.015906, var=0.000253, cv=0.023101
   Epoch  881: std=0.015906, var=0.000253, cv=0.023110
   Epoch  888: std=0.015906, var=0.000253, cv=0.023099
   Epoch  892: std=0.015905, var=0.000253, cv=0.023086
   Epoch  886: std=0.015905, var=0.000253, cv=0.023099
   Epoch  880: std=0.015904, var=0.000253, cv=0.023109

🔻 표준편차가 낮은 상위 10 에폭:
   Epoch    1: std=0.007401, var=0.000055, cv=0.009946
   Epoch    4: std=0.008205, var=0.000067, cv=0.011380
   Epoch    2: std=0.008404, var=0.000071, cv=0.011356
   Epoch    3: std=0.008443, var=0.000071, cv=0.011594
   Epoch    5: std=0.009056, var=0.000082, cv=0.012545
   Epoch   16: std=0.009144, var=0.000084, cv=0.012252
   Epoch   17: std=0.009189, var=0.000084, cv=0.012283
   Epoch   18: std=0.009286, var=0.000086, cv=0.012392
   Epoch   15: std=0.009448, var=0.000089, cv=0.012686
   Epoch   19: std=0.009478, var=0.000090, cv=0.012653
